	Jedek1	Jedek4	Jedek2	Jedek18	Jedek13	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek5	Jedek37	Jedek15	Jedek29	Jedek32	Jedek25	Jedek26	Jedek33	Jedek16	Jedek22	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek36	Jedek20	Jedek14	Jedek35	Jedek17	Jedek19	Jedek24	Jahai11	Jahai9	Jahai13	Jahai7	Jahai14	Jahai4	Jahai15	Jahai2	Jahai12	Jahai1	Jahai8	Jahai10	Jahai18	Jahai17
11	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	bihlɔh	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	misnɛs	kicɛʔ	cilcɔl	cilcɔl	bihlɔh	cilcɔl	cilcɔl	cilcɔl	cilcɔl
12	ʔɛk	ʔindɨn	ʔindɨn	ciktuk	ʔindɨn	ʔikʔɛk	cuntuk	ʔikʔɛk	ʔikʔɛk	tipet	kirəʔ	ʔikʔɛk	cuntuk	ŋikŋɔk	kiʔrəʔ	kiʔrəʔ	ŋɔk	ktpit	ʔindɨn	siŋboŋ	kiʔrəʔ	cuktuk	ʔikʔɛk	ʔikʔɛk	ʔindɨn	ʔikʔɛk	cuntuk	ʔndɨn	ciktuk	cuntuk	cuntuk	ʔandɨn	ʔikʔɛk	cuntuk	pet	ŋɔk	cuktuk	cuntuk	ʔɛk	ʔindɨn	ʔindɨn	cuntuk	ciktuk	siŋboŋ	cuntuk	ŋɔk
13	salam	mɲamut	salam	salam	mɲamut	mɲamut	salam	salam	salam	mɲamut	salam	piŋgɛŋ	salam	mɲamut	salam	piŋgɛŋ	salam	cipcɛp	piŋgɛŋ	salam	pimpɔ̃m	salam	salam	mɲamut	salam	sambut	piŋgɛŋ	pgɛŋ	sitmut	salam	salam	cipcɛp	ʔitkit	mɲamut	sambut	piŋgɛŋ	sambut	salam	sambut	salam	sambut	salam	pimpɔ̃m	mɲamut	pimpɔ̃m	ʔaŋket
14	lɔy	hitmɛt	pmpem	pmpem	hitmɛt	pmpem	pmpem	hitmɛt	hitmɛt	hitmat	hitmat	hitmɛt	hitmɛt	pmpem	lɔy	hitmat	hitmɛt	pmpem	hitmɛt	hitmɛt	hitmɛt	hamɛt	hamɛt	hitmɛt	pmpem	pmpem	pmpem	hitmɛt	pmpem	liylɔy	hitmɛt	pmpem	?	hitmɛt	hamat	pmpem	hitmat	hitmat	pmpem	hitmɛt	pmpem	hamɛt	hitmɛt	hitmat	hitmɛt	hamɛt
15	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	?	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk
16	?	kimʔəm	?	kimʔəm	?	?	?	?	kimʔəm	?	kimʔəm	?	knʔəm	kimʔəm	?	kimʔəm	kimʔəm	?	?	kimʔəm	kmʔəm	?	kimʔəm	kmʔəm	knʔəm	?	?	kmʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	ʔiɲʔɔ̃ɲ	?	kimʔəm	?	kmʔəm	kimʔəm	?	?	knʔəm	kimʔəm	?	kimʔəm	kmʔəm
17	guhcɔh	gucɔh	gucɔh	gucɔh	gucɔh	gucɔh	ktɨm	tumboʔ	gucɔh	gucɔh	guhcɔh	gucɔh	p-disdəs	guhcɔh	?	gucɔh	tiʔmɛʔ	ktɨm	gucɔh	?	gucɔh	gucɔh	?	gucɔh	?	gucɔh	gucɔh	tumboʔ	tumboʔ	guhcɔh	gucɔh	?	tumboʔ	?	?	tumboʔ	gucɔh	katuŋ	?	guhcɔh	gucɔh	?	gucɔh	gucɔh	?	gucɔh
18	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	?	ŋɔk	ŋɔk	ŋɔk	?	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	?	ŋɔk	ŋɔk	?	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	?	ŋɔk
19	bagiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	ʔikʔɛk	bagiʔ	toka	biʔgiʔ	baɲci	biʔgiʔ	ʔikʔɛk	bagiʔ	bagiʔ	biʔgiʔ	biʔgiʔ	ʔikʔɛk	bagiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	bagiʔ	bagiʔ	ʔɛk	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	bagiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk
20	knʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kmʔəm	knʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	knʔəm	kimʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	knʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm
21	bagiʔ	ʔikʔɛk	bagiʔ	biʔgiʔ	biʔgiʔ	?	bagiʔ	toka	biʔgiʔ	baɲci	ʔikʔɛk	ʔikʔɛk	bagiʔ	biʔgiʔ	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	?	biʔgiʔ	biʔgiʔ	bagiʔ	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ	?	bagiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	biʔgiʔ	bagiʔ	ʔɛk	bagiʔ	?	ʔikʔɛk	biʔgiʔ	ʔɛk	biʔgiʔ	biʔgiʔ
22	?	gilsil	tiŋkoh	gilsil	gilsil	?	tmpuh	?	?	gilsil	tnihpuh	tihpuh	?	gilsil	gilsil	kiŋlɨ̃ŋ	gilsil	gilsil	?	timpuh	kilsil	kilkil	?	krilsil	timpuh	gilsil	gilsil	tmpuh	?	tmpuh	gilsil	tŋkɨk	tihkoh	gilsil	?	?	?	gilsil	?	?	tnihpuh	tmpuh	kilhil	gilsil	gilsil	?
23	knʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kmʔəm	knʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	kmʔəm	ʔmʔɔm	kmʔəm	kmʔəm	kmʔəm	?	?	?	knʔəm	kmʔəm	kmʔəm	kmʔəm	ʔɔ̃ɲ
24	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	?	?	?	pjaʔ	pjaʔ	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	pjaʔ	pjaʔ	pjaʔ	pjaʔ	?	pjaʔ	pjaʔ	?	?	pjaʔ
25	ʔɛl	ʔɛl	?	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	?	cilkil	ʔɛl	?	ʔɛl	ʔɛl	?	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	?	ʔɛl	ʔɛl	?	ʔɛl	?	?	ʔɛl	ʔilʔɛl	?	ʔɛl	?	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔilʔɛl	ʔɛl
26	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	?	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk
27	?	?	cŋcoŋ	bitkut	coŋ	?	cŋcoŋ	hay	coŋ	?	cŋcoŋ	?	?	hamat	coŋ	coŋ	cŋcoŋ	hay	?	coŋ	cŋcoŋ	?	coŋ	hamɛt	cŋcoŋ	?	hiyhay	cŋcoŋ	cŋcoŋ	pdɛp	hamɛt	?	hamat	hay	hamɛt	?	htmat	hay	b-ʔikut	dɔp	hay	hamɛt	hamɛt	hay	?	htmɛt
28	bagiʔ	ʔikʔɛk	bagiʔ	biʔgiʔ	biʔgiʔ	?	biʔgiʔ	toka	ʔikʔɛk	baɲci	ʔikʔɛk	ʔɛk	ʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ	ʔikʔɛk	ʔikʔɛk	ʔɛk	biʔgiʔ	ʔikʔɛk	?	toka	bagiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ	ʔɛk	biʔgiʔ	ʔikʔɛk	bagiʔ	bagiʔ	bagiʔ	biʔgiʔ	biʔgiʔ	ʔikʔɛk	ʔɛk	bagiʔ	biʔgiʔ
29	knʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	knʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	?	kmʔəm	kimʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm
30	bagiʔ	ʔikʔɛk	baɲci	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	baɲci	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	?	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	bagiʔ	ʔikʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	biʔgiʔ
31	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔɛl	ʔilʔɛl	ʔɛl	?	ʔɛl	ʔɛl	?	?	ʔɛl	ʔɛl	ʔɛl	ʔilʔɛl	?	ʔɛl	ʔɛl	ʔɛl	?	?	?	ʔɛl	ʔɛl	ʔɛl	ʔɛl	?	ʔɛl	ʔɛl	ʔɛl	?	?	?	ʔɛl	ʔɛl	ʔɛl	ʔɛl	?	?	ʔɛl	ʔɛl	?	ʔɛl	ʔɛl
32	ʔɛk	?	ʔikʔɛk	?	?	?	?	ʔikʔɛk	ʔikʔɛk	?	ʔikʔɛk	ʔikʔɛk	?	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	ʔikʔɛk	?	?	biʔgiʔ	ʔɛk	?	ʔikʔɛk	toka	ʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔɛk	ʔikʔɛk	ʔikʔɛk	ʔɛk	ʔɛk	?	biʔgiʔ	ʔikʔɛk	bagiʔ	?	ʔikʔɛk	biʔgiʔ	bagiʔ	ʔɛk	biʔgiʔ	?
33	?	?	ʔɛl	?	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	ticmic	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	?	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔɛl	ʔɛl	ʔilʔɛl	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	titlət	?	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	?	ʔɛl
34	bagiʔ	ʔikʔɛk	baɲci	bagiʔ	biʔgiʔ	ʔɛk	bagiʔ	pisləs	bagiʔ	baɲci	ʔikʔɛk	ʔikʔɛk	bagiʔ	bagiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	?	ʔikʔɛk	biʔgiʔ	biʔgiʔ	bagiʔ	baɲci	ʔɛk	bagiʔ	ʔikʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	biʔgiʔ	biʔgiʔ	ʔikʔɛk	bagiʔ	ʔɛk	biʔgiʔ	bagiʔ	ʔikʔɛk	bagiʔ	bagiʔ	ʔɛk	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	bagiʔ
35	hatut	susun	picɨn	susun	boh	?	?	toŋkɛt	boh	himpon	susun	boh	boh	picɨn	cuntuk	kacep	susun	kapit	kalaŋ	hatow	cuktuk	diʔ	diʔ	hatow	hatow	boh	susun	cuntuk	picɨn	cuntuk	boh	diʔ	plagaʔ	diʔ	boh	boh	cuntuk	boh	taŋkok	boh	boh	tihpɛh	boh	giʔ	cuntuk	boh
36	hamɛt	hitmɛt	?	?	hitmɛt	?	?	hitmɛt	hitmɛt	hitmat	?	htmɛt	?	?	hitmɛt	hitmat	hitmɛt	?	?	mayin	hitmɛt	hitmɛt	hitmɛt	hamɛt	prikluk	?	hitmɛt	hitmɛt	?	hitmɛt	hitmɛt	?	hitmat	hitmɛt	hamɛt	hamɛt	hitmat	?	hoŋal	prikluk	?	hitmɛt	?	hamat	hitmɛt	hitmɛt
37	ʔɛk	ʔikʔɛk	baɲci	biʔgiʔ	biʔgiʔ	ʔɛk	bagiʔ	b-gilih	biʔgiʔ	baɲci	biʔgiʔ	ʔikʔɛk	bagiʔ	bagiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	ʔɛk	ʔikʔɛk	ʔɛk	ʔɛk	baɲci	ʔikʔɛk	bagiʔ	ʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	biʔgiʔ	bagiʔ	biʔgiʔ	biʔgiʔ	ʔɛk	biʔgiʔ	bagiʔ	bagiʔ	baɲci	bagiʔ	ʔikʔɛk	bagiʔ	biʔgiʔ	ʔikʔɛk	biʔgiʔ	bagiʔ
38	salam	mɲamut	salam	salam	cipcɛp	mɲamut	salam	salam	?	salam	salam	ʔaŋket	pŋgɛŋ	mɲamut	pimpɔ̃m	piŋgɛŋ	pimpɔ̃m	cipcɛp	cipcɛp	salam	salam	salam	?	ʔaŋket	salam	mɲitmut	cipcɛp	piŋgɛŋ	sitmut	salam	salam	?	sitmut	salam	sambut	piŋgɛŋ	sitmut	salam	mɲamut	salam	sambut	salam	piŋgɛŋ	mɲamut	pimpɔ̃m	ʔɛk
39	?	hitmɛt	hitmɛt	?	hitmɛt	?	?	hitmɛt	hitmɛt	hitmat	lɔy	?	?	hamɛt	hamɛt	hitmat	hitmɛt	hamɛt	hitmɛt	hitmɛt	?	?	hitmɛt	hamɛt	hitmɛt	?	hamɛt	?	?	hitmɛt	hitmɛt	hitmɛt	hitmat	hitmɛt	hitmat	hitmɛt	?	?	?	?	?	hitmɛt	?	?	hitmɛt	?
40	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	kicɛʔ	likluk	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	kiʔcɛʔ	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cɔl	cilcɔl	kiʔcɛʔ	kicɛʔ	cilcɔl	cɔl	cilcɔl	clcɔl	cilcɔl	cilcɔl	cilcɔl
41	toka	ʔikʔɛk	toka	toka	toka	toka	ʔikʔɛk	toka	ʔɛk	toka	ʔikʔɛk	?	ʔikʔɛk	biʔgiʔ	toka	biʔgiʔ	biʔgiʔ	ʔikʔɛk	ʔɛk	toka	toka	ʔikʔɛk	ʔɛk	ʔikʔɛk	toka	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	bagiʔ	toka	toka	ʔikʔɛk	ʔikʔɛk	toka	torkar	biʔgiʔ	b-gilir	toka	ʔikʔɛk	toka	tokar	toka	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk
42	guhcɔh	pilpal	?	guhcɔh	guhcɔh	guhcɔh	ktɨm	gucɔh	guhcɔh	guhcɔh	?	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tŋɨk	guhcɔh	gustih	guhcɔh	guhcɔh	pilpal	guhcɔh	gucɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	tiʔmboʔ	gihcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	guhcɔh	gihcɔh	lihpah	guhcɔh	guhcɔh
43	?	?	hitmɛt	?	hitmɛt	hitmat	hitmat	hamɛt	hitmɛt	hitmat	hitmat	?	?	piŋraŋ	lɔy	hitmat	hitmɛt	hitmɛt	?	hitmat	hitmɛt	hitmɛt	?	hamɛt	hamɛt	?	hitmɛt	hitmɛt	hitmɛt	hitmɛt	hitmɛt	?	hitmat	hamɛt	hamɛt	hamɛt	hitmat	hitmat	?	?	hitmat	?	hitmɛt	?	hitmɛt	?
44	pilpal	pilpal	pilpal	pal	pilpal	guhcɔh	pilpal	?	?	pilpal	pal	?	lihpah	prikluk	lihpah	lihpah	lihpah	tŋkɨk	pilpal	lihpah	?	pilpal	pilpal	pilpal	pilpal	lihpah	pilpal	pilpal	lmpah	lmpah	tampəh	tiɲuɲ	lihpah	kimtɨm	lihpah	?	lihpah	pilpal	guhcɔh	pal	kimtɨm	lmpah	gihcɔh	?	pilpal	kusɛʔ
45	pimpɔ̃m	miymay	may	miymay	miymay	may	miymay	tikrik	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	may	bayɛʔ	may	tikrik	miymay	miymay	miymay	may	miymay	miymɛy	mɛy	mɛy	mɛy	mɛy	miymɛy	mɛy	may	drəc	miymay	ricrə̃c	mɛy	miymay	mɛy
46	?	ʔilʔɛl	?	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	?	ʔilʔɛl	?	?	?	ʔilʔɛl	ʔɛl	ʔilʔɛl	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	ʔilʔɛl	?	?	ʔilʔɛl	?	?	ʔilʔɛl	?	?	?	?	?	?	?	?	ʔilʔɛl	?	ʔilʔɛl	?	ʔilʔɛl	ʔilʔɛl	?	?	?	ʔɛl
47	?	kimʔəm	knʔəm	kimʔəm	kmʔəm	?	?	kmʔəm	?	?	knʔəm	?	knʔəm	?	kimʔəm	kmʔəm	?	?	?	?	kmʔəm	?	?	kmʔəm	knʔəm	?	kmʔəm	?	?	kmʔəm	kimʔəm	?	?	?	?	?	kimʔəm	?	?	?	kmʔəm	?	?	kmʔəm	?	?
