Jedek1	Jedek3	Jedek4	Jedek2	Jedek18	Jedek13	Jedek39	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek6	Jedek5	Jedek37	Jedek20	Jedek25	Jedek26	Jedek33	Jedek32	Jedek16	Jedek22	Jedek14	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek10	Jedek35	Jedek17	Jedek36	Jedek19	Jedek24	Jedek29	Jahai2	Jahai4	Jahai1	Jahai15	Jahai12	Jahai13	Jahai11	Jahai9	Jahai5	Jahai10	Jahai18	Jahai17	Jahai7	Jahai8
21	hãc	hãc	hãc	hãc	hãc	?	?	?	hãc	hãc	hãc	hãc	hãc	hãc	hãc	hãc	plpɛ̃l	hãc	?	?	?	hãc	hãc	hãc	hãc	hãc	hãc	hãc	?	hãc	hãc	hãc	hãc	hãc	?	hãc	hɛ̃c	hãc	?	?	hɛ̃c	?	hɛ̃c	hɛ̃c	hɛ̃c	hãc	hɛ̃c	hɛ̃c
22	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	?	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk	ʔɛk
23	lkaʔ	lkaʔ	lon	lon	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	saŋgruk	lkaʔ	masuk	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ	lkaʔ
24	jrloʔ	lon	jklɔk	jruk	jlɔ̃k	jlɔ̃k	saŋgruk	jruk	boh	rndəm	smlɛm	ʔisiʔ	boh	boh	jruk	cilɔ̃m	jlɔp	saŋgruk	ʔisiʔ	jlɔp	jruk	jruk	ʔisiʔ	ʔɛk	ʔisiʔ	rndəm	kibuk	jlɔ̃k	jruk	jruk	jruk	cilɔ̃m	jlɔp	jlɔ̃k	jruk	ʔisiʔ	masuk	jruk	ypyɔp	cilɔ̃m	cilɔ̃m	toŋgɛŋ	jruk	jruk	jruk	jklɔk	ʔnay	cilɔ̃m
25	pakɛy	pakɛy	pakɛy	pakɛy	bləh	pakɛy	boh	boh	pakɛy	pakɛy	pakɛy	pakɛy	pakɛy	pakɛy	boh	boh	boh	pakɛy	boh	pakɛy	pakɛy	saŋgruk	pakɛy	pakɛy	boh	bləh	boh	pakɛy	pakɛy	boh	pakɛy	boh	boh	pakɛy	saŋgruk	pakɛy	ʔisiʔ	boh	pakɛy	pakɛy	saŋgruk	pakɛy	bləh	pakɛy	bləh	boh	boh	pakɛy
26	pakɛy	pakɛy	pakɛy	pakɛy	bləh	bləh	saŋgruk	lɔp	bləh	bləh	bləh	pakɛy	pakɛy	pakɛy	saŋgruk	bləh	bləh	saŋgruk	pakɛy	pakɛy	bləh	pakɛy	pakɛy	boh	pakɛy	bləh	bləh	pakɛy	bləh	bləh	pakɛy	saŋgruk	pakɛy	bləh	bləh	pakɛy	bləh	pakɛy	pakɛy	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	pakɛy
27	boh	boh	boh	boh	gantoŋ	boh	gantoŋ	saŋkut	boh	boh	boh	hipɛt	boh	boh	saŋkut	saŋkut	boh	hipɛt	boh	boh	boh	boh	boh	boh	hipɛt	boh	sipɛt	boh	gantoŋ	hipɛt	boh	hipɛt	saŋkut	saŋkut	saŋkut	hipɛt	boh	boh	saŋkut	saŋkut	gantoŋ	hipɛt	saŋkut	saŋkut	hipɛt	boh	srpɛk	saŋkut
28	tipet	timpɛʔ	timpɛʔ	tipet	timpɛʔ	tipet	tibɛŋ	tipet	boh	tipet	timpɛʔ	tipet	tipet	tampãl	tipet	timpɛʔ	tipet	pet	pet	pet	boh	tipet	timpɛʔ	plet	timpɛʔ	pet	timpɛʔ	pet	pet	tibɛŋ	timpɛʔ	tipet	timpɛʔ	timpɛʔ	boh	tipet	tipet	tipet	boh	pridɛŋ	timpɛʔ	timpɛʔ	timpɛʔ	tipet	tibɛŋ	pet	tibɛŋ	tipet
31a	?	?	?	?	?	ʔaŋket	ʔaŋket	?	?	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	ʔaŋket	?	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	?	ʔaŋket	?	?	?	?	?	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket
31b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	tuduŋ	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	tuduŋ	boh	liŋkuk	tutup	boh	boh	boh	boh	boh	boh
33	pakɛy	pakɛy	pakɛy	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	pakɛy	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	pakɛy	pakɛy	bləh	pakɛy	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh	bləh	pakɛy	bləh	bləh	bləh	bləh	bləh
35	boh	boh	boh	boh	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	boh	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	boh	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ	masuk	ʔisiʔ	ʔisiʔ	boh	ʔisiʔ	boh	ʔisiʔ	ʔisiʔ	ʔisiʔ	ʔisiʔ
50a	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
50b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh
51a	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	?	?	?	ʔaŋket	ʔaŋket	?	ʔaŋket	ʔaŋket	?	jĩŋ	?	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
51b	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	?	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh	boh
52	tɲuʔ	tɲuʔ	ɲuh	tolɔʔ	boh	ɲuh	tkuŋ	boh	ɲuh	tolɔʔ	tkuŋ	tkuŋ	tolɔʔ	tolɔʔ	ɲuh	tolɔʔ	tolɔʔ	ɲuh	ɲuh	ɲuh	ɲuh	ɲuh	boh	ɲuh	tolɔʔ	simpən	ɲuh	tolɔʔ	tolɔʔ	ɲuh	ɲuh	ɲuh	tolɔʔ	dlũʔ	surut	tolɔʔ	tolɔʔ	hidit	boh	ɲuh	surut	kisɔ̃t	tolɔʔ	ɲuh	tkuŋ	surut	ɲuh	surut
101	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	tjik	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
102	ʔaŋket	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ʔaŋket	ktɛp	ktɛp	ktɛp	ktɛp	ʔaŋket	ktɛp	ktɛp	ktɛp	jaŋgaŋ	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	jaŋgaŋ	ktɛp	ʔaŋket	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ʔaŋket	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	jaŋgaŋ	ktɛp	ktɛp	ktɛp	jaŋgaŋ	ktɛp	ktɛp	ktɛp	ktɛp
103	kacep	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	tjik	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ʔaŋket	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp	ktɛp
104	ʔaŋket	ʔaŋket	ʔaŋket	haŋkat	kmʔəm	ʔaŋket	kilik	kompɔʔ	ʔaŋket	ʔaŋket	ʔaŋket	sʔun	ʔaŋket	ʔaŋket	sʔun	haŋkat	ʔaŋket	haŋkat	ʔaŋket	sʔun	ʔaŋket	ʔaŋket	sʔun	ʔaŋket	kmʔəm	ʔaŋket	kilik	haŋkat	ʔaŋket	ʔaŋket	sʔun	sʔun	haŋkat	kmʔəm	ʔaŋket	ʔaŋket	ʔaŋket	ʔŋsuŋ	sʔun	ʔaŋket	cdum	cdum	ʔaŋket	sʔun	cduŋ	sʔun	sʔun	ʔaŋket
105	ʔaŋket	ʔaŋket	ʔaŋket	ktɛp	ckam	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	rahop	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	rahop	ckam	rahop	ʔaŋket	ʔaŋket	rahop	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ckam	ʔaŋket	rahop	ʔaŋket	rahop	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ktɛp	ʔaŋket	ʔaŋket	rahop	gŋgam	ckam	ckam	ckam	rahop	ckam	gŋgam
106	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	sʔun	jĩŋ	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
107	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	yəw	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	jĩŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
111	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket
112	tuh	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	tuh	cʔɨʔ	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	sɔh	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	tuh	tuh	tuh	tuh	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	cʔɨʔ	tuh	tuh	tuh	cʔɨʔ	tuh	cʔɨʔ	cʔɨʔ	sɔh	cʔɨʔ	tuh	tuh	sɔh	cʔɨʔ
113	snitkut	sipat	tnisdes	tnisdes	sipat	tnisdes	hãc	hãc	?	tnisdes	sipat	sipat	sipat	snitkut	tbalik	sipat	sipat	sipat	sipat	sipat	tŋkək	sipat	snitkut	sipat	tiŋkuh	sipat	sipat	tiyə	sipat	sipat	sipat	sipat	sipat	sipat	sipat	sipat	sipat	sipat	sipat	sipat	tnisdes	sipat	sipat	sipat	sipat	sipat	sipat	sipat
114	sintak	sintak	sintak	ʔoy	ʔoy	sintak	sintak	bwaŋ	tilɛh	sintak	ʔoy	sintak	sintak	cabut	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	ʔoy	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sintak	sɲɔh	sɲɔh	sintak	sintak	ʔoy	sintak	sɲɔh	sintak	sintak	sintak
115	ʔaŋket	ʔaŋket	ʔaŋket	ʔoy	sintak	sintak	sintak	sintak	sintak	sintak	ʔoy	ʔaŋket	sintak	ʔaŋket	sintak	sintak	sintak	ʔaŋket	ʔaŋket	sintak	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	sintak	sintak	sɲɔh	ʔoy	sintak	sintak	ʔaŋket	sintak	sintak	sintak	sintak	ʔaŋket	sintak	ʔaŋket	sɲɔh	sɲɔh	ʔaŋket	sintak	sɲɔh	sintak	sɲɔh	sintak	sintak	tarik
116	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	saŋgruk	ʔaŋket	lkaʔ	ʔaŋket	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	lkaʔ	pridɛŋ	stlot	ʔaŋket	ʔaŋket	lkaʔ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	lkaʔ	ʔaŋket	sintak	ʔaŋket	ʔaŋket	ʔaŋket	pridɛŋ	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	ʔaŋket	lkaʔ	sɲɔh	ʔaŋket	ʔaŋket	saŋgruk	ʔaŋket	ʔaŋket
