	Jedek1	Jedek3	Jedek2	Jedek13	Jedek6	Jedek5	Jedek37	Jedek27	Jedek29	Jedek17	Jedek35	Jedek14	Jedek30	Jedek21	Jedek32	Jedek25	Jedek20	Jedek16	Jedek26	Jedek28	Jedek36	Jedek23	Jahai18	Jahai7	Jahai8	Jahai5	Jahai10	Jahai2	Jahai1	Jahai15	Jahai12	Jahai13	Jahai11	Jahai9	Jahai17	Jahai6	Jahai3	Jahai16
13	lɛŋ	lɛŋ	?	ʔatɛs	?	ʔatɛs	?	ʔatɛs	ʔatɛs	?	k=ʔatɛs	?	ʔatɛs	klɛŋ	ʔatɛs	?	?	?	?	ʔatɛs	?	lɛŋ	ʔatɛs	?	klɛŋ ʔatɛs	klɛŋ	klɛŋ	?	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ba=	ʔatɛs	?	k=ʔatɛs	ʔatɛs	?
14	lɛŋ	lɛŋ	daləm	daləm	lɛŋ	lɛŋ daləm	?	daləm	daləm	daləm	daləm	daləm	daləm	daləm	daləm	klɛŋ	daləm	daləm	daləm	daləm	daləm	lɛŋ	klɛŋ	daləm	lɛŋ	klɛŋ	klɛŋ	daləm	daləm	daləm	daləm	ʔatɛs	daləm	daləm	daləm	lɛŋ	daləm	daləm
16	lɛŋ kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	klɛŋ	?	kyəm	kyəm	?	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	?	kyəm	k=kyəm	kyəm	kyəm	kyəm	klɛŋ kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm
17	tŋah	lɛŋ	ʔatɛs	lɛŋ	lɛŋ kyəm	ʔatɛs	klɛŋ	klɛŋ	kyəm tŋah tŋah	klɛŋ	tŋah	lɛŋ	klɛŋ	klɛŋ	clah	tpiʔ	lɛŋ	klɛŋ	ʔatɛs	klɛŋ ʔatɛs	?	lɛŋ	klɛŋ	lɛŋ	lɛŋ khkɛh	klɛŋ	krpiŋ	lɛŋ	lɛŋ	ʔatɛs	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ
19	lɛŋ	klɛŋ	lɛŋ	lɛŋ	ʔatɛs	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	ʔatɛs	klɛŋ	lɛŋ	ʔatɛs	klɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	clah	lɛŋ	klɛŋ	krpiŋ	klɛŋ	klɛŋ	klɛŋ	ʔatɛs	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	daləm	klɛŋ	k=ʔatɛs	lɛŋ	lɛŋ
20	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	lɛŋ	lɛŋ	lɛŋ	lɛŋ	da=sɛɲ	lɛŋ	klɛŋ	lɔʔ	klɛŋ	?	lɛŋ	klɛŋ	klɛŋ	lɛŋ	?	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	?	lɛŋ
21	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	?	lɛŋ	lɛŋ	lɛŋ	daləm	lɛŋ	?	lɛŋ	lɛŋ	lɛŋ	?	lɛŋ	lɛŋ	klɛŋ	lɛŋ	?	?	lɛŋ	lɛŋ	k=	klɛŋ	klɛŋ	klɛŋ	lɛŋ	da=	lɛŋ kyəm	lɛŋ	lɛŋ
23	lɛŋ	klɛŋ	lɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	kyəm	ʔatɛs	klɛŋ	ʔatɛs	ʔatɛs	lɛŋ	lɛŋ	klɛŋ	lɛŋ	ʔatɛs	ʔatɛs	klɛŋ	lɛŋ	klɛŋ	k=ʔatɛs	lɛŋ	klɛŋ	krpiŋ	klɛŋ	klɛŋ	k=	lɛŋ	ʔatɛs	klɛŋ	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	k=ʔatɛs	ʔatɛs	lɛŋ
24	kyəm	?	daləm	kyəm	kyəm	kyəm	?	kyəm	kyəm	kyəm	?	daləm	klɛŋ	?	clah	kyəm	kyəm	kyəm	kyəm	kyəm	?	lɛŋ kyəm	kyəm	kyəm	kyəm	kyəm	kyɔm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	?	kyəm	kyəm	kyɔm
25	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	?	lɛŋ	lɛŋ	lɛŋ	ʔatɛs	klɛŋ	lɛŋ	lɛŋ	k=ʔatɛs	lɛŋ	?	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	clah	daləm	klɛŋ	clah	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	lɛŋ
27	lɛŋ	k=ʔatɛs	ʔatɛs	klɛŋ	lɛŋ	ʔatɛs	kyəm	kyəm	klɛŋ kyəm	klɛŋ	k=tŋah	ʔatɛs	lɛŋ	lɛŋ	kyəm	kyəm	klɛŋ	lɛŋ	klɛŋ	lɛŋ	?	lɔʔ	klɛŋ	kyəm	klɛŋ	klɛŋ	k=	ʔatɛs	lɛŋ	kyəm	ba=	klɛŋ	klɛŋ	ʔatɛs	k=ʔatɛs	lɛŋ	lɛŋ	kyɔm
29	lɛŋ	lɛŋ	ʔatɛs	klɛŋ	ʔatɛs	ʔatɛs	klɛŋ	da=	k=ʔatɛs	ʔatɛs	?	lɛŋ	klɛŋ	lɛŋ	clah	ʔatɛs	lɛŋ	ʔatɛs	lɛŋ	da=	k=ʔatɛs	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	lɛŋ ʔatɛs	krpiŋ	ʔatɛs	klɛŋ	da=	ʔatɛs	ʔatɛs	k=ʔatɛs	ʔatɛs	ʔatɛs
30	lɛŋ	?	lɛŋ	?	lɛŋ	klɛŋ	?	klɛŋ	tŋah	?	?	?	lɛŋ	?	?	tŋah	?	?	?	daləm	?	?	klɛŋ	klɛŋ	lɛŋ daləm	?	?	?	lɛŋ	daləm	daləm	daləm	daləm	?	daləm	lɛŋ	daləm	?
31	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	klɛŋ kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm bawɔh	kyəm	kyəm	kyɔm	kyɔm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyɔm
32	lɛŋ	klɛŋ	daləm	daləm	lɛŋ	daləm	daləm	klɛŋ	daləm	daləm	klɛŋ	daləm	klɛŋ	klɛŋ	daləm	lɛŋ	daləm	lɛŋ	lɛŋ	lɛŋ	daləm	daləm	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	daləm	daləm	k=daləm	klɛŋ	klɛŋ	klɛŋ	lɛŋ	daləm	lɛŋ	daləm	daləm
34	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	klɛŋ	ʔatɛs	lɛŋ	lɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ	ʔatɛs	klɛŋ	klɛŋ ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ ʔatɛs	krpiŋ	k=	klɛŋ	krpiŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ	ʔatɛs	k=ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ ʔatɛs
35	lɛŋ	samaʔ pdeʔ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	?	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	?	klɛŋ	lɛŋ	klɛŋ	lɛŋ
36	ʔatɛs	klɛŋ	lɛŋ ʔatɛs	ʔatɛs	pndəh	lɛŋ	kyəm	klɛŋ	ʔatɛs	ʔatɛs	?	ʔatɛs	?	?	ʔatɛs	?	ʔatɛs	?	ʔatɛs	lɛŋ	ʔatɛs	k=ʔatɛs	klɛŋ	krpiŋ	k=ʔatɛs	lɛŋ	klɛŋ	lɛŋ	lɛŋ ʔatɛs	ba=	ʔatɛs	klɛŋ	?	ʔatɛs	k=ʔatɛs	k=ʔatɛs	?	lɔʔ
37	lɛŋ	lɛŋ	lɛŋ	da=	lɛŋ	lɛŋ	?	klɛŋ	lɛŋ	klɛŋ	?	lɛŋ	lɛŋ	klɛŋ	kyəm	lɛŋ	lɛŋ	ʔatɛs	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	k=	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	k=ʔatɛs	k=ʔatɛs	lɛŋ	lɛŋ
38	lɛŋ	clah	clah	clah	lɛŋ	?	clah	klɛŋ	clah	can=ʔndaŋ	?	clah	lɛŋ	?	clah	?	can=ser	lɛŋ	can=ʔndaŋ	mɲjiʔ can=	?	clah	ser	clah	?	?	ser	klɛŋ clah	lɛŋ	klɛŋ clah	pndəh	tpiʔ	tpiʔ	ba=kahkɛh	klɛŋ	lɛŋ clah	ser	?
39	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	da=	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	ba=sɛɲ	klɛŋ	lɛŋ	lɛŋ	lɛŋ
40	lɛŋ	klɛŋ	ʔatɛs	ʔatɛs	lɛŋ	lɛŋ	daləm	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	krpiŋ	krpiŋ	k=ʔatɛs	klɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	ʔatɛs	lɛŋ
41	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	?	klɛŋ	klɛŋ	klɛŋ	?	lɛŋ	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	lɛŋ	klɛŋ	ʔndaŋ ʔndaŋ	klɛŋ	?	lɛŋ	klɛŋ	klɛŋ	lɛŋ	?	krpiŋ	lɛŋ	klɛŋ	krəʔ	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	?	ʔatɛs	klɛŋ	lɛŋ
42	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	k=	klɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	k=	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	ba=	klɛŋ	lɛŋ	lɛŋ	klɛŋ
43	lɛŋ	ʔatɛs	ʔatɛs	lɛŋ	lɛŋ	ʔatɛs	kyəm	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ	ʔatɛs	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	klɛŋ	krpiŋ	ʔatɛs	k=ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs	lɛŋ
44	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	clah	klɛŋ	lɛŋ	lɛŋ	klɛŋ	clah	lɛŋ	lɛŋ	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	?	lɛŋ	klɛŋ	lɛŋ
45	daləm	ʔatɛs	lɛŋ	lɛŋ	k=ʔatɛs	ʔatɛs	k=ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	?	ʔatɛs	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	?	can=kyəm	k=ʔatɛs	lɛŋ	klɛŋ	klɛŋ	lɛŋ	?	klɛŋ	ʔatɛs	klɛŋ	k=kyəm	kyəm	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ
46	lɛŋ	lɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	lɛŋ	lɛŋ	lɛŋ
47	daləm	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	ʔndaŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	daləm	klɛŋ	klɛŋ	klɛŋ	krpiŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	daləm	klɛŋ	daləm	lɛŋ
48	lɛŋ	?	lɛŋ	lɛŋ	lɛŋ	lɛŋ	k=la=	klɛŋ	klɛŋ	?	?	lɛŋ	lɛŋ	klɛŋ	clah	klɛŋ	da=	lɛŋ	lɛŋ	lɛŋ	klɛŋ	da=	lɛŋ	ʔatɛs klɛŋ	ba=	?	klɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	ba=	klɛŋ	ba=	?	lɛŋ
49	lɛŋ	pndəh	ʔatɛs	clah	pndəh	clah	lɛŋ	clah	?	clah	clah	clah	klɛŋ	klɛŋ	clah	clah	clah	krəʔ	can=ʔndaŋ	clah	?	clah	ser	clah	ʔndaŋ	?	?	k=ʔatɛs	lɛŋ	clah	pndəh	klɛŋ	tpiʔ	klɛŋ	klɛŋ	klɛŋ clah	tpiʔ	?
50	daləm	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	lɛŋ	lɛŋ	?	kyəm	klɛŋ	klɛŋ	klɛŋ	lɛŋ	?	sblah	lɛŋ	klɛŋ	klɛŋ	lɛŋ	?	klɛŋ	lɛŋ	klɛŋ	clah	klɛŋ	klɛŋ	klɛŋ	?	klɛŋ	lɛŋ	klɛŋ	?
51	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	ʔatɛs
52	lɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	lɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	pndəh	lɛŋ	klɛŋ	klɛŋ	lɛŋ	da=	lɛŋ	lɛŋ	lɛŋ
53	kyəm	kyəm	kyəm	kyəm	lɛŋ	lɛŋ kyəm	k=ʔatɛs	kyəm	kyəm	kyəm	kyəm	kyəm	lɛŋ	lɛŋ	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	lɛŋ kyəm	klɛŋ	kyəm	kyəm	kyəm	kyɔm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	kyəm	daləm	kyəm	kyəm	kyəm
54	daləm	lɛŋ	daləm	daləm	lɛŋ	daləm	daləm	klɛŋ	daləm	daləm	daləm	daləm	lɛŋ	klɛŋ	daləm	daləm	daləm	daləm	klɛŋ daləm	daləm	daləm	lɛŋ daləm	klɛŋ	klɛŋ	daləm	lɛŋ	klɛŋ	daləm	lɛŋ	klɛŋ	daləm	klɛŋ	klɛŋ	daləm	daləm	lɛŋ	daləm	lɛŋ
55	lɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	kyəm	klɛŋ	lɛŋ	klɛŋ	klɛŋ kyəm	lɛŋ	klɛŋ	klɛŋ	klɛŋ	tŋah tŋah	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	?	lɛŋ	klɛŋ kyəm	klɛŋ	lɛŋ	klɛŋ	klɛŋ	daləm	klɛŋ	lɛŋ	kyəm	?
58	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	?	?	lɛŋ	clah	?	lɛŋ	lɛŋ	lɛŋ	clah	ʔndaŋ	da	lɛŋ	k=ʔatɛs	lɛŋ	ʔatɛs	lɛŋ	k=ser	klɛŋ	lɛŋ	?	ser	lɛŋ	lɛŋ	clah	?	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	?
59	lɛŋ ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	klɛŋ	lɛŋ ʔatɛs	ʔatɛs	k=ʔatɛs	lɛŋ	ʔatɛs	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	k=ʔatɛs	k=ʔatɛs	lɛŋ	klɛŋ ʔatɛs	klɛŋ	lɛŋ	krpiŋ	krpiŋ	ʔatɛs	ʔatɛs	k=ʔatɛs krpiŋ	ʔatɛs	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs
60	daləm	?	daləm	daləm	daləm	daləm	klɛŋ	lɛŋ	tŋah kliliŋ	daləm	?	daləm	daləm	k=daləm	daləm	daləm	?	?	?	klɛŋ	daləm	lɛŋ	daləm	k=daləm	daləm	?	klɛŋ	?	daləm	tŋah	daləm	klɛŋ	?	daləm	daləm	daləm	daləm	?
63	lɛŋ	ʔatɛs	ʔatɛs	?	?	ʔatɛs	?	klɛŋ	?	klɛŋ ʔatɛs	?	?	?	klɛŋ	kyəm	?	ʔatɛs	ʔatɛs	k=ʔatɛs	?	?	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	krpiŋ	?	lɛŋ ʔatɛs	?	kyəm	?	ʔatɛs	ʔatɛs	?	k=ʔatɛs	ʔatɛs	?
64	ʔndaŋ	ʔndaŋ	lɛŋ	lɛŋ	lɛŋ ʔndaŋ	ʔndaŋ	da=	klɛŋ	klɛŋ krəʔ	ʔndaŋ	?	ʔndaŋ	kyɔm	?	krəʔ	ʔndaŋ	ʔndaŋ	kyəm	ʔndaŋ	klɛŋ	kyəm	lɛŋ krəʔ	ʔndaŋ	pndəh	ʔndaŋ	ba=krəʔ	?	ʔndaŋ	ʔndaŋ	ʔndaŋ	kyəm	kyəm	ʔndaŋ	krɔʔ	ʔndaŋ	lɛŋ	lɛŋ	lɛŋ
